service_id,date,exception_type
1,20140120,1
2201,20140310,1
2201,20140311,1
2201,20140312,1
2201,20140430,1
2201,20140106,1
2201,20140107,1
2201,20140108,1
2201,20140113,1
2201,20140114,1
2201,20140115,1
2201,20140121,1
2201,20140122,1
2201,20140127,1
2201,20140128,1
2201,20140129,1
2201,20140203,1
2201,20140204,1
2201,20140205,1
2201,20140210,1
2201,20140211,1
2201,20140218,1
2201,20140219,1
2201,20140224,1
2201,20140225,1
2201,20140226,1
2201,20140303,1
2201,20140304,1
2201,20140305,1
2201,20140317,1
2201,20140318,1
2201,20140319,1
2201,20140324,1
2201,20140325,1
2201,20140326,1
2201,20140331,1
2201,20140401,1
2201,20140402,1
2201,20140407,1
2201,20140408,1
2201,20140409,1
2201,20140422,1
2201,20140423,1
2201,20140428,1
2201,20140429,1
2201,20140313,1
2201,20140109,1
2201,20140116,1
2201,20140123,1
2201,20140130,1
2201,20140206,1
2201,20140213,1
2201,20140220,1
2201,20140227,1
2201,20140306,1
2201,20140320,1
2201,20140327,1
2201,20140403,1
2201,20140410,1
2201,20140424,1
2201,20140501,1
2201,20140314,1
2201,20140110,1
2201,20140117,1
2201,20140124,1
2201,20140131,1
2201,20140207,1
2201,20140214,1
2201,20140221,1
2201,20140228,1
2201,20140321,1
2201,20140328,1
2201,20140404,1
2201,20140411,1
2201,20140307,1
2201,20140425,1
2201,20140502,1
2301,20140212,1
2301,20140217,1
2301,20140414,1
2301,20140415,1
2301,20140416,1
2301,20140421,1
2301,20140430,1
2301,20140106,1
2301,20140107,1
2301,20140108,1
2301,20140113,1
2301,20140114,1
2301,20140115,1
2301,20140121,1
2301,20140122,1
2301,20140127,1
2301,20140128,1
2301,20140129,1
2301,20140203,1
2301,20140204,1
2301,20140205,1
2301,20140210,1
2301,20140211,1
2301,20140218,1
2301,20140219,1
2301,20140224,1
2301,20140225,1
2301,20140226,1
2301,20140303,1
2301,20140304,1
2301,20140305,1
2301,20140317,1
2301,20140318,1
2301,20140319,1
2301,20140324,1
2301,20140325,1
2301,20140326,1
2301,20140331,1
2301,20140401,1
2301,20140402,1
2301,20140407,1
2301,20140408,1
2301,20140409,1
2301,20140422,1
2301,20140423,1
2301,20140428,1
2301,20140429,1
2301,20140109,1
2301,20140116,1
2301,20140123,1
2301,20140130,1
2301,20140206,1
2301,20140213,1
2301,20140220,1
2301,20140227,1
2301,20140306,1
2301,20140320,1
2301,20140327,1
2301,20140403,1
2301,20140410,1
2301,20140424,1
2301,20140417,1
2301,20140501,1
2301,20140418,1
2301,20140110,1
2301,20140117,1
2301,20140124,1
2301,20140131,1
2301,20140207,1
2301,20140214,1
2301,20140221,1
2301,20140228,1
2301,20140321,1
2301,20140328,1
2301,20140404,1
2301,20140411,1
2301,20140307,1
2301,20140425,1
2301,20140502,1
201,20140313,1
201,20140109,1
201,20140116,1
201,20140123,1
201,20140130,1
201,20140206,1
201,20140213,1
201,20140220,1
201,20140227,1
201,20140306,1
201,20140320,1
201,20140327,1
201,20140403,1
201,20140410,1
201,20140424,1
201,20140417,1
201,20140501,1
201,20140418,1
201,20140314,1
201,20140110,1
201,20140117,1
201,20140124,1
201,20140131,1
201,20140207,1
201,20140214,1
201,20140221,1
201,20140228,1
201,20140321,1
201,20140328,1
201,20140404,1
201,20140411,1
201,20140307,1
201,20140425,1
201,20140502,1
2401,20140430,1
2401,20140501,1
2401,20140307,1
2401,20140425,1
2401,20140502,1
6401,20140418,1
6401,20140314,1
6401,20140110,1
6401,20140117,1
6401,20140124,1
6401,20140131,1
6401,20140207,1
6401,20140214,1
6401,20140221,1
6401,20140228,1
6401,20140321,1
6401,20140328,1
6401,20140404,1
6401,20140411,1
6401,20140307,1
6401,20140425,1
6401,20140502,1
2402,20140308,1
2402,20140309,1
2402,20140315,1
2402,20140316,1
2402,20140426,1
2402,20140427,1
2402,20140503,1
2402,20140504,1
2403,20140308,1
2403,20140309,1
2403,20140315,1
2403,20140316,1
2403,20140426,1
2403,20140427,1
2403,20140503,1
2403,20140504,1
